Zip Code,Population
14710,"2,980"
12183,"2,970"
12919,"2,961"
14821,"2,958"
14812,"2,954"
11976,"2,952"
13656,"2,942"
13613,"2,931"
14755,"2,919"
14012,"2,911"
11964,"2,906"
13164,"2,904"
13825,"2,903"
14809,"2,890"
12072,"2,882"
13131,"2,880"
12117,"2,871"
13612,"2,865"
11935,"2,863"
12074,"2,848"
11977,"2,843"
11941,"2,814"
13471,"2,806"
10984,"2,805"
10588,"2,783"
13076,"2,778"
12154,"2,777"
13754,"2,768"
12525,"2,749"
14081,"2,742"
14739,"2,731"
14471,"2,727"
13060,"2,725"
12835,"2,708"
14098,"2,707"
12546,"2,706"
12567,"2,695"
12138,"2,695"
13092,"2,689"
12929,"2,684"
14807,"2,681"
13730,"2,679"
12094,"2,656"
12966,"2,656"
13044,"2,643"
12920,"2,624"
12775,"2,623"
14770,"2,621"
14525,"2,608"
13040,"2,595"
12789,"2,594"
14521,"2,594"
13332,"2,577"
14735,"2,575"
13812,"2,574"
13476,"2,572"
13646,"2,546"
12850,"2,537"
13746,"2,535"
14435,"2,512"
13143,"2,504"
12068,"2,503"
13110,"2,494"
14726,"2,494"
14715,"2,484"
14813,"2,480"
14817,"2,479"
12501,"2,476"
13606,"2,468"
12979,"2,465"
11955,"2,458"
10968,"2,456"
14716,"2,453"
13160,"2,444"
14476,"2,443"
13602,"2,440"
10537,"2,439"
13787,"2,432"
13493,"2,428"
14840,"2,425"
14203,"2,424"
14865,"2,421"
12918,"2,412"
14560,"2,412"
12529,"2,410"
14853,"2,405"
10511,"2,397"
14517,"2,388"
14544,"2,371"
12926,"2,371"
14058,"2,370"
13416,"2,369"
13685,"2,362"
11549,"2,359"
10973,"2,358"
13101,"2,358"
12780,"2,346"
12531,"2,337"
14775,"2,328"
12604,"2,316"
13424,"2,306"
12921,"2,304"
14847,"2,300"
12197,"2,298"
13620,"2,298"
14170,"2,292"
12121,"2,280"
12167,"2,279"
13734,"2,269"
11548,"2,261"
12981,"2,259"
12578,"2,249"
13648,"2,236"
12747,"2,234"
12779,"2,205"
13626,"2,202"
13699,"2,194"
13658,"2,189"
14744,"2,188"
14516,"2,185"
11005,"2,174"
11439,"2,170"
12817,"2,168"
14879,"2,160"
13156,"2,156"
14814,"2,152"
13409,"2,144"
12916,"2,143"
13112,"2,140"
10526,"2,128"
12821,"2,124"
13797,"2,119"
14139,"2,113"
12173,"2,099"
14782,"2,099"
13673,"2,097"
14034,"2,086"
13146,"2,085"
14561,"2,081"
12137,"2,077"
12776,"2,073"
13654,"2,073"
13652,"2,067"
14030,"2,067"
14711,"2,063"
14767,"2,061"
12521,"2,056"
14138,"2,046"
13843,"2,038"
12149,"2,038"
14743,"2,037"
13783,"2,035"
14826,"2,035"
13034,"2,029"
13145,"2,028"
13607,"2,020"
12070,"2,011"
13425,"2,010"
13327,"2,009"
14747,"2,005"
10976,"2,002"
14101,"1,997"
12583,"1,994"
12207,"1,988"
12928,"1,984"
12466,"1,981"
13363,"1,981"
12491,"1,981"
14040,"1,974"
13320,"1,971"
13042,"1,960"
14873,"1,945"
12577,"1,942"
13736,"1,936"
12993,"1,926"
12516,"1,925"
10917,"1,923"
12723,"1,923"
12052,"1,915"
12581,"1,914"
14806,"1,912"
12431,"1,909"
12523,"1,908"
13661,"1,908"
12996,"1,903"
13697,"1,898"
12910,"1,890"
14838,"1,889"
13459,"1,888"
14818,"1,878"
12733,"1,865"
12106,"1,864"
12066,"1,863"
12764,"1,861"
13622,"1,859"
12060,"1,859"
14102,"1,856"
14718,"1,854"
13431,"1,847"
13495,"1,841"
13083,"1,835"
12958,"1,827"
12440,"1,826"
12903,"1,824"
14422,"1,809"
10986,"1,806"
14741,"1,805"
14167,"1,804"
14781,"1,796"
13625,"1,792"
12023,"1,791"
11509,"1,790"
12057,"1,789"
12116,"1,787"
12957,"1,781"
10578,"1,780"
13485,"1,779"
13660,"1,774"
14024,"1,773"
14005,"1,772"
13618,"1,771"
13052,"1,759"
12870,"1,756"
14466,"1,754"
12168,"1,752"
13775,"1,752"
12193,"1,746"
12740,"1,732"
13324,"1,729"
10501,"1,727"
14427,"1,720"
12185,"1,709"
14477,"1,706"
12056,"1,695"
12455,"1,689"
13428,"1,689"
13433,"1,686"
12155,"1,685"
12912,"1,682"
13608,"1,676"
13304,"1,653"
12062,"1,650"
14481,"1,640"
12166,"1,635"
14504,"1,631"
12959,"1,627"
13120,"1,625"
13063,"1,624"
12859,"1,622"
12759,"1,619"
13026,"1,619"
12974,"1,617"
14171,"1,611"
13343,"1,606"
12461,"1,604"
10162,"1,603"
12575,"1,600"
14065,"1,597"
12086,"1,587"
12087,"1,584"
13808,"1,581"
12028,"1,557"
10919,"1,551"
12076,"1,549"
14880,"1,548"
13801,"1,545"
14778,"1,539"
14033,"1,539"
14533,"1,538"
12059,"1,530"
12748,"1,518"
14803,"1,514"
12737,"1,513"
12140,"1,512"
13335,"1,511"
13477,"1,498"
14591,"1,495"
12515,"1,492"
12941,"1,487"
14109,"1,473"
14898,"1,469"
13111,"1,463"
13694,"1,442"
12486,"1,440"
12565,"1,439"
13616,"1,430"
14858,"1,425"
14013,"1,423"
14008,"1,423"
14055,"1,418"
13809,"1,410"
13303,"1,410"
13348,"1,409"
12751,"1,407"
10922,"1,403"
10546,"1,392"
14478,"1,391"
14054,"1,391"
12463,"1,373"
14804,"1,362"
13839,"1,360"
14889,"1,357"
12719,"1,339"
13054,"1,334"
10964,"1,333"
11939,"1,331"
12468,"1,329"
10931,"1,319"
14091,"1,316"
13328,"1,311"
14550,"1,301"
12937,"1,300"
14507,"1,292"
13302,"1,289"
13338,"1,280"
13635,"1,279"
12932,"1,278"
12093,"1,276"
12956,"1,271"
14740,"1,269"
12967,"1,263"
14861,"1,260"
14028,"1,257"
13122,"1,257"
12430,"1,253"
12997,"1,251"
12481,"1,247"
14894,"1,244"
13315,"1,237"
13147,"1,236"
14129,"1,236"
13650,"1,236"
12853,"1,235"
13024,"1,230"
12592,"1,226"
14731,"1,226"
11739,"1,225"
12917,"1,221"
12058,"1,220"
13144,"1,219"
13807,"1,218"
13158,"1,217"
14143,"1,216"
12977,"1,213"
13796,"1,210"
12092,"1,208"
13464,"1,207"
13679,"1,205"
10914,"1,205"
12729,"1,203"
14709,"1,201"
14860,"1,197"
14864,"1,197"
14571,"1,190"
14723,"1,187"
13680,"1,186"
14145,"1,185"
13835,"1,184"
13630,"1,184"
12935,"1,180"
13322,"1,172"
12726,"1,168"
12814,"1,168"
14555,"1,165"
12067,"1,165"
12496,"1,164"
13028,"1,162"
14614,"1,158"
10969,"1,150"
14418,"1,149"
13684,"1,149"
12472,"1,146"
12585,"1,144"
12824,"1,143"
12960,"1,143"
12125,"1,141"
12815,"1,140"
13402,"1,133"
13757,"1,130"
13368,"1,129"
13744,"1,125"
13081,"1,122"
11957,"1,121"
12934,"1,120"
12022,"1,120"
10505,"1,119"
12989,"1,110"
13864,"1,099"
13810,"1,090"
12970,"1,084"
12419,"1,081"
12192,"1,077"
12980,"1,075"
12029,"1,069"
13334,"1,067"
12548,"1,064"
14753,"1,060"
12783,"1,060"
14836,"1,055"
13420,"1,055"
12136,"1,043"
12457,"1,041"
13731,"1,038"
12464,"1,033"
13490,"1,031"
12837,"1,021"
12485,"1,021"
13788,997
13813,997
12842,995
14855,992
10518,992
14066,991
12913,989
12502,984
13473,982
14869,982
14859,979
12423,970
13780,968
12151,967
12504,961
12734,950
11569,945
12434,944
13782,936
12427,935
12494,934
14846,928
14260,924
14720,924
11948,924
14506,923
13325,918
12785,917
14556,913
12863,910
12451,909
14037,904
12930,897
13318,896
13750,896
12763,890
12873,886
11958,884
14462,877
13470,877
12765,873
12409,865
13752,858
12474,857
12768,857
13469,855
13682,854
14822,851
11930,842
14728,842
13072,840
13739,833
12473,831
11794,831
11960,830
12417,828
12878,819
12156,808
14784,805
14842,802
14805,801
12469,798
13071,796
13355,780
12746,778
12732,776
12791,763
14769,757
14729,756
14819,755
12985,755
12187,752
14825,751
14885,749
13690,748
12847,740
13681,738
13454,735
12838,734
11959,734
12503,732
13802,729
13361,725
11932,725
12160,716
11962,712
12914,711
12150,710
14113,709
12778,707
11547,706
13615,700
14841,698
13756,697
12432,697
10988,695
12777,695
12936,691
14824,687
11765,683
10597,679
14815,678
13321,678
14897,671
12190,671
13155,669
12153,669
13061,668
12063,665
12032,662
14536,659
14877,658
13777,656
13310,654
13755,652
13141,652
10596,650
13486,646
12406,644
12950,628
13740,626
12574,619
12482,619
12470,618
14026,617
12175,612
12786,610
14839,610
13337,607
12436,607
14820,606
12857,606
14878,602
12120,600
12823,597
13621,589
14872,589
11430,588
14717,586
13313,586
14754,586
10517,584
13842,582
13489,576
12444,576
12035,566
12475,557
14714,555
13844,555
14511,548
12164,539
12884,538
12442,537
12766,535
14816,534
12923,532
13157,529
12493,526
14480,520
12480,510
13410,508
12955,503
12861,501
14808,500
12836,498
12852,490
13406,486
14082,485
13687,483
12412,475
12810,471
12017,471
12433,470
12041,468
12147,466
13665,465
13861,462
12843,461
14777,454
12942,450
11975,450
13672,449
13832,448
12405,447
12720,447
14748,446
14486,444
14069,443
13786,430
12418,427
12174,427
14549,426
12069,425
13693,423
12738,423
12008,422
12860,419
12749,419
10527,418
12169,417
11970,416
13136,406
11965,404
12725,403
13305,403
13153,403
12998,399
12422,399
12762,394
12176,393
10535,392
12945,391
12456,390
13633,389
12177,387
13659,386
13841,385
12439,384
13664,384
13863,382
13784,382
12420,381
13776,380
13670,378
13483,377
12849,371
12760,367
12965,363
14884,362
14060,362
12046,358
12085,357
12819,350
12108,350
13494,346
13319,344
12410,343
